"probeset","qvalue_16h","most_associated_marker_16h","qvalue_32h","most_associated_marker_32h","bb4_expression_pattern","description"
"AF108009_at",0.083618229,"5H.15",0.181885974,"7H.23","n/a","11/06/02 AAD46470.1   2e-37 (AF108009) HV1PST [Hordeum vulgare]"
"AF108010_at",0.338733217,"2H.34",0.178038074,"1H.09","n/a","11/06/02 AAD46471.1   0.0 (AF108010) Hv1LRR2 [Hordeum vulgare]"
"AF108015_at",0.275917778,"4H.29",0.07054456,"2H.18","n/a","11/06/02 AAD46476.1   e-117 (AF108015) YPL943 [Hordeum vulgare]"
"AF109193_at",0.15138652,"2H.68",0.103628314,"2H.01","n/a","11/06/02 AAF23356.1   3e-64 (AF109193) ECA1 protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF129480_at",0.015125168,"1H.01",0.181120675,"6H.41","n/a","11/06/02 AAF36492.1   e-109 (AF129480) HAK1B [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF134152_at",0.081891573,"3H.04",0.054719385,"6H.32","n/a","11/06/02 AAD55362.1   9e-81 (AF134152) cysteine protease [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF134153_at",0.328799449,"1H.04",0.221409449,"5H.05","n/a","11/06/02 AAD55363.1   3e-92 (AF134153) cysteine protease [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF146269_at",0.272441641,"2H.35",0.238214034,"1H.13","n/a","11/06/02 AAF21362.1   e-156 (AF146269) resistance gene analog PIC22 [Oryza sativa]"
"AF146270_at",0.336224257,"1H.04",0.252151159,"2H.68","n/a","11/06/02 AAF21363.1   8e-94 (AF146270) resistance gene analog PIC23 [Oryza sativa]"
"AF146271_at",0.30204232,"7H.62",0.22014001,"7H.62","n/a","11/06/02 AAF21364.1   2e-48 (AF146271) resistance gene analog PIC24 [Oryza sativa]"
"AF146272_at",0.15901648,"4H.09",0.055911344,"3H.17","n/a","11/06/02 AAF21365.1   7e-84 (AF146272) resistance gene analog PIC25 [Hordeum vulgare]"
"AF146272_s_at",0.174727299,"2H.66",0.083356291,"5H.07","n/a","11/06/02 AAF21365.1   7e-84 (AF146272) resistance gene analog PIC25 [Hordeum vulgare]"
"AF146273_at",0.191477154,"1H.07",0.22107309,"7H.63","n/a","11/06/02 AAF21366.1   3e-55 (AF146273) resistance gene analog PIC25-1 [Hordeum vulgare]"
"AF146274_at",0.150575178,"7H.27",0.104025575,"1H.03","n/a","11/06/02 AAF21367.1   3e-48 (AF146274) resistance gene analog PIC26 [Hordeum vulgare]"
"AF250937_s_at",2.7e-06,"5H.08",0.000361502,"7H.11","n/a","11/06/02 AAG00429.1   e-104 (AF250937) germin E [Hordeum vulgare]"
"AF254799_CDS-2_at",0.274969435,"1H.02",0.030831481,"1H.48","n/a","11/06/02 AAF90122.1   e-145 (AF254799) tonoplast intrinsic protein 2 [Hordeum vulgare]"
"AF273681.1_s_at",0.322176032,"7H.07",0.241808944,"1H.28","n/a","Pseudomonas syringae pv. syringae strain 7B12 APH(3 ) streptomycin phosphotransferase (strA) gene"
"AF348460_at",1.99e-06,"6H.27",9.64e-05,"6H.27","n/a","11/06/02 AAL02091.1   3e-25 (AF348460) cryptochrome 2 [Hordeum vulgare]"
"AF414172_at",0.299022984,"6H.14",0.127503329,"7H.51","n/a","11/06/02 AAL07812.1   0.0 (AF414172) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF414174_at",0.260465874,"6H.18",0.2496151,"5H.27","n/a","11/06/02 AAL07813.1   0.0 (AF414174) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF414175_at",0.113674704,"6H.45",0.208418,"4H.34","n/a","11/06/02 AAL07814.1   0.0 (AF414175) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF414176_at",0.008305273,"7H.01",0.000305579,"7H.01","n/a","11/06/02 AAL07815.1   0.0 (AF414176) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF414177_at",0.10301462,"2H.15",0.253035649,"7H.36","n/a","11/06/02 AAL07816.1   0.0 (AF414177) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF414179_at",0.094289065,"3H.38",0.132146378,"1H.17","n/a","11/06/02 AAL07817.1   0.0 (AF414179) NBS-LRR-like protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF427791_CDS-10_at",0.27489659,"1H.03",0.19334499,"5H.30","n/a","11/06/02 AAM22819.1   0.0 (AF427791) RGH2B [Hordeum vulgare] gb|AAM22820.1|AF427791_11 (AF427791) RGH2A [Hordeum vulgare]"
"AF427791_CDS-12_at",0.293009599,"7H.39",0.024876962,"7H.36","n/a","11/06/02 AAM22821.1   8e-83 (AF427791) HV80H14.11B [Hordeum vulgare] gb|AAM22822.1|AF427791_13 (AF427791) HV80H14.11A [Hordeum vulgare]"
"AF427791_CDS-13_at",4.44e-05,"4H.25",3.75e-05,"4H.25","n/a","11/06/02 AAM22823.1   1e-50 (AF427791) HV80H14.10B [Hordeum vulgare] gb|AAM22824.1|AF427791_15 (AF427791) HV80H14.10A [Hordeum vulgare]"
"AF427791_CDS-14_at",0.270120796,"1H.07",0.000221058,"1H.07","n/a","11/06/02 AAM08613.1   e-124 (AC107314) Putative disease resistance gene [Oryza sativa (japonica cultivar-group)]"
"AF427791_CDS-2_at",0.338733217,"4H.17",0.05866204,"5H.05","n/a","11/06/02 AAM22835.1   2e-29 (AF427791) hv711N16.15 [Hordeum vulgare]"
"AF427791_CDS-23_at",0.063202035,"2H.68",0.110640781,"3H.19","n/a","11/06/02 AAM22825.1   2e-86 (AF427791) HV80H14.8 [Hordeum vulgare]"
"AF427791_CDS-25_at",0.061251073,"1H.02",0.119129877,"1H.10","n/a","11/06/02 AAM22827.1   2e-34 CI2E [Hordeum vulgare]"
"AF427791_CDS-3_at",0.336421817,"5H.25",0.174720656,"7H.39","n/a","11/06/02 AAM22811.1   6e-57 (AF427791) HV711N16.14 [Hordeum vulgare]"
"AF427791_CDS-9_at",0.189998867,"2H.55",0.144476161,"1H.09","n/a","11/06/02 AAM22817.1   e-119 (AF427791) HV80H14.14B [Hordeum vulgare] gb|AAM22818.1|AF427791_9 (AF427791) hv80H14.14a [Hordeum vulgare]"
"AF442489_at",3.12e-05,"5H.33",0.001257492,"7H.55","n/a","11/06/02 AAM13419.1   e-111 (AF442489) CRT/DRE binding factor 2 [Hordeum vulgare subsp. vulgare]"
"AF474072_CDS-1_at",0.201644412,"1H.02",0.157906664,"7H.51","n/a","11/06/02 AAM13439.1   0.0 (AF474072) similar to putative receptor protein kinase from A. thaliana [Hordeum vulgare subsp. vulgare]"
"AF474072_CDS-2_at",0.161237141,"2H.68",0.225322135,"5H.06","n/a","11/06/02 AAM13440.1   2e-80 (AF474072) Hypothetical protein [Hordeum vulgare subsp. vulgare]"
"AF474072_CDS-4_at",0.049176783,"1H.02",0.238145168,"5H.13","n/a","11/06/02 AAM13442.1   2e-71 (AF474072) similar to A. thaliana C3HC4-type RING zinc finger protein AB005237 [Hordeum vulgare subsp. vulgare]"
"AF474373_CDS-1_at",0.320656155,"2H.21",0.149706612,"6H.43","n/a","11/06/02 AAL77104.1   3e-96 (AF474373) putative leucine aminopeptidase [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF474373_CDS-10_at",0.084124597,"2H.63",0.176347421,"7H.62","n/a","<none>"
"AF474373_CDS-2_at",0.265995759,"1H.03",0.215835516,"7H.55","n/a","11/06/02 AAL77105.1   6e-70 (AF474373) unknown [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF474373_CDS-4_at",0.273780611,"1H.02",0.019185401,"5H.05","n/a","11/06/02 AAL77107.1   e-102 (AF474373) hypothetical protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF474373_CDS-5_at",0.164148273,"5H.58",0.204703594,"2H.56","n/a","11/06/02 AAL77108.1   7e-80 (AF474373) hypothetical protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF474373_CDS-8_at",0.088326803,"1H.03",0.177826975,"1H.18","n/a","11/06/02 AAL77111.1   1e-58 (AF474373) hypothetical protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF474982_CDS-2_at",0.209442026,"5H.23",0.191903202,"6H.29","n/a","11/06/02 AAL85698.1   3e-91 (AF474982) hypothetical protein [Hordeum vulgare subsp. vulgare]"
"AF474982_CDS-3_at",0.062198945,"2H.44",0.05166457,"5H.06","n/a","11/06/02 AAL85699.1   6e-47 (AF474982) hypothetical protein [Hordeum vulgare subsp. vulgare]"
"AF509747.1_at",1.99e-06,"7H.02",7.35e-07,"7H.02","PacMan","---"
"AFFX-BioB-3_at",0.120671894,"5H.44",0.197614115,"4H.19","n/a",NA
"AFFX-BioB-5_at",0.025477738,"5H.44",0.079960249,"5H.44","n/a",NA
"AFFX-BioB-M_at",0.082937725,"5H.44",0.122933573,"4H.19","n/a",NA
"AFFX-BioC-3_at",0.093343528,"5H.44",0.160774034,"4H.19","n/a",NA
"AFFX-BioC-5_at",0.122001177,"7H.61",0.22442538,"4H.19","n/a",NA
"AFFX-BioDn-3_at",0.194207517,"7H.13",0.237229075,"4H.31","n/a",NA
"AFFX-BioDn-5_at",0.146294652,"5H.44",0.197942843,"4H.20","n/a",NA
"AFFX-CreX-3_at",0.242357507,"5H.56",0.269550088,"4H.04","n/a",NA
"AFFX-CreX-5_at",0.246947832,"7H.61",0.234265357,"4H.31","n/a",NA
"AFFX-DapX-3_at",0.265969692,"5H.27",0.27406508,"7H.57","n/a",NA
"AFFX-DapX-5_at",0.332360016,"7H.31",0.229587899,"1H.09","n/a",NA
"AFFX-DapX-M_at",0.250291279,"3H.40",0.27407048,"5H.51","n/a",NA
"AFFX-LysX-3_at",0.135739132,"4H.10",0.273789553,"1H.09","n/a",NA
"AFFX-LysX-5_at",0.22334966,"3H.14",0.260287197,"1H.47","n/a",NA
"AFFX-LysX-M_at",0.135081041,"2H.68",0.046413241,"1H.11","n/a",NA
"AFFX-PheX-3_at",0.078412525,"2H.44",0.103311794,"5H.04","n/a",NA
"AFFX-PheX-5_at",0.008118137,"1H.02",0.243206654,"2H.60","n/a",NA
"AFFX-PheX-M_at",0.015691957,"5H.34",0.16976392,"6H.14","n/a",NA
"AFFX-r2-Bs-dap-3_at",0.338733217,"2H.03",0.274019235,"3H.14","n/a",NA
"AFFX-r2-Bs-dap-5_at",0.239409922,"2H.45",0.137977484,"7H.57","n/a",NA
"AFFX-r2-Bs-dap-M_at",0.246005784,"2H.67",0.27400183,"1H.21","n/a",NA
"AFFX-r2-Bs-lys-3_at",0.046605187,"5H.53",0.127148557,"7H.10","n/a",NA
"AFFX-r2-Bs-lys-5_at",0.330873522,"3H.54",0.019271173,"5H.04","n/a",NA
"AFFX-r2-Bs-lys-M_at",0.055323135,"3H.41",0.12719024,"7H.33","n/a",NA
"AFFX-r2-Bs-phe-3_at",0.327561616,"1H.33",0.244998066,"2H.06","n/a",NA
"AFFX-r2-Bs-phe-5_at",0.038981823,"1H.02",0.226343495,"5H.57","n/a",NA
"AFFX-r2-Bs-phe-M_at",0.102354325,"2H.49",0.205419903,"7H.18","n/a",NA
"AFFX-r2-Bs-thr-3_s_at",0.254977807,"2H.44",0.264446724,"2H.15","n/a",NA
"AFFX-r2-Bs-thr-5_s_at",0.338733217,"7H.02",0.0941273,"5H.02","n/a",NA
"AFFX-r2-Bs-thr-M_s_at",0.285433057,"7H.13",0.245340534,"1H.19","n/a",NA
"AFFX-r2-Ec-bioB-3_at",0.135868672,"7H.14",0.084216641,"4H.20","n/a",NA
"AFFX-r2-Ec-bioB-5_at",0.058774895,"7H.62",0.135810451,"4H.19","n/a",NA
"AFFX-r2-Ec-bioB-M_at",0.177991514,"5H.44",0.01669803,"4H.19","n/a",NA
"AFFX-r2-Ec-bioC-3_at",0.053266067,"7H.61",0.006742539,"4H.19","n/a",NA
"AFFX-r2-Ec-bioC-5_at",0.071378632,"7H.14",0.143622778,"4H.19","n/a",NA
"AFFX-r2-Ec-bioD-3_at",0.092776163,"7H.13",0.029312869,"1H.48","n/a",NA
"AFFX-r2-Ec-bioD-5_at",0.147697395,"7H.13",0.157761752,"4H.20","n/a",NA
"AFFX-r2-P1-cre-3_at",0.161520037,"4H.31",0.244210926,"5H.06","n/a",NA
"AFFX-r2-P1-cre-5_at",0.209178879,"2H.35",0.247922104,"1H.47","n/a",NA
"AFFX-ThrX-3_at",0.241510588,"5H.15",0.270819001,"5H.07","n/a",NA
"AFFX-ThrX-5_at",0.082375631,"5H.13",0.197725894,"7H.57","n/a",NA
"AFFX-ThrX-M_at",0.159268465,"2H.15",0.096346351,"5H.05","n/a",NA
"AFFX-TrpnX-3_at",0.035367352,"6H.18",0.271760687,"5H.01","n/a",NA
"AFFX-TrpnX-5_at",0.207889968,"3H.45",0.268197131,"7H.33","n/a",NA
"AFFX-TrpnX-M_at",0.074291901,"5H.14",0.246338496,"4H.29","n/a",NA
"AJ000237_s_at",0.218703835,"4H.17",0.014782939,"2H.65","n/a","11/06/02 T05917       7e-28 hypothetical protein - barley (fragment) emb|CAA03962.1| unnamed protein product [Hordeum vulgare subsp. vulgare]"
"AJ009762.1_at",0.285076201,"1H.04",0.236726913,"1H.37","n/a","TAE9762 Triticum aestivum mRNA for thioredoxin H"
"AJ132968.1_s_at",0.1160982,"4H.31",0.215364316,"4H.34","n/a","Corynebacterium glutamicum cat gene"
"AJ222781_at",0.04554577,"2H.67",0.015598535,"1H.09","PacMan","11/06/02 BAB90120.1   3e-19 putative heme A farnesyltransferase homolog [Oryza sativa (japonica cultivar-group)]"
"AJ222781_x_at",0.201138214,"2H.65",0.039998825,"1H.09","n/a","11/06/02 BAB90120.1   3e-19 putative heme A farnesyltransferase homolog [Oryza sativa (japonica cultivar-group)]"
"AJ236837_at",0.265969692,"4H.02",0.264446724,"1H.29","n/a","<none>"
"AJ249928_at",0.208452024,"3H.27",0.248725791,"5H.04","n/a","11/06/02 CAB89518.1   6e-79 (AJ249928) hordoindoline-b [Hordeum vulgare]"
"AJ250283_at",0.002359757,"3H.04",0.029517383,"3H.16","n/a","11/06/02 CAB71337.1   e-117 putative calcium binding EF-hand protein [Hordeum vulgare subsp. vulgare]"
"AJ303111_at",0.159286196,"4H.01",0.202600369,"5H.06","n/a","11/06/02 CAC19668.1   3e-36 (AJ303111) putative lectin [Hordeum vulgare subsp. vulgare]"
"AJ303111_s_at",0.003553144,"7H.16",0.006791619,"1H.08","n/a","11/06/02 CAC19668.1   3e-36 (AJ303111) putative lectin [Hordeum vulgare subsp. vulgare]"
"AJ303355_at",0.048145994,"2H.66",7.35e-07,"1H.05","n/a","11/06/02 CAC24845.1   e-115 (AJ303355) MCB2 protein [Hordeum vulgare subsp. vulgare]"
"AJ311603_at",0.010333264,"1H.02",0.159546444,"7H.22","n/a","11/06/02 CAC33831.1   e-158 (AJ311603) putative nuclease [Hordeum vulgare subsp. vulgare]"
"AJ400138_at",2.7e-06,"2H.68",1.3e-06,"1H.05","n/a","11/06/02 CAB77546.1   2e-38 (AJ400138) chitinase [Hordeum vulgare subsp. vulgare]"
"AJ421947.1_s_at",0.094053403,"2H.68",0.141292463,"2H.56","n/a","TAE421947 Triticum aestivum mRNA for NADPH-thioredoxin reductase (ntr gene)"
"AY009939_CDS-2_s_at",1.99e-06,"1H.05",7.35e-07,"1H.05","n/a","11/06/02 AAG37354.1   0.0 (AY009938) Mla1 [Hordeum vulgare] [Hordeum vulgare subsp. vulgare] gb|AAG37356.1| (AY009939) Mla1 [Hordeum vulgare] [Hordeum vulgare subsp."
"AY013246_CDS-5_at",0.130267377,"2H.63",0.238521161,"6H.44","n/a","11/06/02 AAG49003.1   0.0 (AY013246) putative ABC transporter [Hordeum vulgare subsp. vulgare]"
"AY103457.1_at",0.17551341,"4H.22",0.032922644,"5H.38","n/a","Vibrio cholerae class I integron aminoglycoside 3 -adenyl transferase (aadA1) gene"
"AY103457.1_s_at",0.269279435,"1H.04",0.080815407,"5H.04","n/a","Vibrio cholerae class I integron aminoglycoside 3 -adenyl transferase (aadA1) gene"
"baak12b08_s_at",0.029913297,"5H.19",0.011239442,"1H.48","n/a","01/29/03 BAC45072.1   1e-20 putative 60S ribosomal protein L38 [Oryza sativa (japonica cultivar-group)]"
"baak12g08_s_at",2.7e-06,"2H.67",1.17e-05,"3H.44","n/a"," 01/29/03 NP_176927.1  2e-14 F12A21.27; protein id: At1g67600.1"
"baak12i08_at",0.136868851,"1H.26",0.272873496,"1H.44","n/a"," 01/29/03 BAB92583.1   1e-16 putative 1"
"baak12i08_s_at",1.99e-06,"3H.33",7.35e-07,"3H.33","n/a"," 01/29/03 BAB92583.1   1e-16 putative 1"
"baak13l10_s_at",0.015267816,"5H.20",1.26e-05,"1H.06","n/a","01/29/03 AAM94294.1   6e-05 putative stripe rust resistance protein Yr10 [Sorghum bicolor]"
"baak16l04_x_at",0.014403386,"2H.63",0.000750966,"1H.45","n/a"," 11/08/02 P04782       3e-37 Chlorophyll A-B binding protein 25"
"baak18e05_s_at",0.216018991,"1H.04",0.007494051,"1H.04","n/a","<none>"
"baak18l03_x_at",0.052620096,"2H.30",0.005565052,"2H.22","n/a","<none>"
"baak19c18_at",0.300069508,"5H.30",0.215532928,"5H.50","n/a","<none>"
"baak19i22_s_at",0.000172588,"2H.66",7.35e-07,"1H.05","iPacMan","<none>"
"baak1b18_at",0.130437552,"2H.66",2.7e-05,"1H.08","n/a"," 11/08/02 P07369       9e-72 Chlorophyll A-B binding protein 3C"
"baak1b18_x_at",0.127916857,"2H.63",3.21e-05,"1H.06","n/a"," 11/08/02 P07369       9e-72 Chlorophyll A-B binding protein 3C"
"baak1e23_at",0.003307372,"1H.02",0.003606941,"1H.04","n/a","11/08/02 S38255       2e-32 plastocyanin precursor - barley emb|CAA68696.1| plastocyanin precursor [Hordeum vulgare]"
"baak1f24_at",0.30185276,"5H.02",0.00078904,"1H.04","n/a","<none>"
"baak1h04_at",0.224471158,"6H.21",0.042931293,"7H.16","n/a","<none>"
"baak1h04_s_at",2.7e-06,"2H.68",0.002008096,"1H.05","n/a","<none>"
"baak1k18_at",0.053553584,"5H.20",0.000889371,"1H.48","n/a"," 11/08/02 NP_174996.1  2e-05 glyceraldehyde-3-phosphate dehydrogenase; protein id: At1g42970.1"
"baak1k18_s_at",0.011574321,"2H.65",1.85e-06,"1H.06","n/a"," 11/08/02 NP_174996.1  2e-05 glyceraldehyde-3-phosphate dehydrogenase; protein id: At1g42970.1"
"baak1o23_s_at",9e-06,"4H.32",0.002144233,"1H.05","n/a","<none>"
"baak1p18_at",0.238057837,"5H.13",0.262836343,"5H.21","n/a","01/29/03 AAM09564.1   9e-16 REP14 [Secale cereale]"
"baak1p18_s_at",0.002578714,"5H.09",0.107645341,"1H.07","n/a","01/29/03 AAM09564.1   9e-16 REP14 [Secale cereale]"
"baak20j05_s_at",1.99e-06,"2H.65",7.35e-07,"1H.05","PacMan","01/29/03 NP_177760.1  2e-22 unknown protein; protein id: At1g76340.1 [Arabidopsis thaliana] pir||H96790 unknown protein F15M4.16 [imported] - Arabidopsis thaliana"
"baak20o05_at",0.233676971,"6H.42",0.272339617,"5H.07","n/a","<none>"
"baak20o05_s_at",0.281806369,"5H.46",0.187133513,"1H.47","n/a","<none>"
"baak21d06_s_at",1.52e-05,"7H.03",1.3e-06,"1H.05","iPacMan","<none>"
"baak23m11_s_at",8.12e-05,"2H.66",1.85e-06,"1H.05","n/a","<none>"
"baak24a02_s_at",1.99e-06,"5H.17",7.35e-07,"5H.17","n/a"," 09/30/02 AAF74220.1   3e-20 fructose 1"
"baak26d07_at",0.064213462,"1H.03",0.000808784,"1H.07","n/a","<none>"
"baak26h09_x_at",1.99e-06,"1H.32",7.35e-07,"1H.32","n/a"," 01/29/03 A24039       2e-18 chlorophyll a/b-binding protein 1A precursor - tomato  (fragments) prf||1204205A protein 1A"
"baak29a08_s_at",0.164094079,"1H.04",0.053901846,"1H.06","n/a"," 01/29/03 NP_190841.1  3e-05 ubiquinol--cytochrome-c reductase-like protein; protein id: At3g52730.1"
"baak2o06_x_at",0.007157831,"2H.63",6.22e-06,"1H.07","n/a"," 01/29/03 P05347       .001 Ribulose bisphosphate carboxylase small chain"
"baak32n13_at",1.99e-06,"5H.36",7.35e-07,"5H.36","n/a"," 11/08/02 P04779       8e-26 Chlorophyll A-B binding protein 13"
"baak33c23_at",0.073418239,"4H.01",0.046625577,"2H.68","n/a","<none>"
"baak33m21_at",0.299200821,"5H.26",0.005802156,"2H.52","n/a"," 11/08/02 NP_568951.1  1e-18 (NM_125606) putative protein; protein id: At5g62130.1"
"baak34e14_at",1.99e-06,"7H.07",7.35e-07,"7H.06","n/a","<none>"
