"hv_gene","gc_hv_transcript","probeset","gc_percent_coverage","gc_percent_identity"
"HORVU3Hr1G098340","HORVU3Hr1G098340.3","Contig10057_at",90.0108577633007,99.879
"HORVU7Hr1G024190","HORVU7Hr1G024190.1","Contig10058_at",100,96.419
"HORVU7Hr1G122650","HORVU7Hr1G122650.3","Contig10061_s_at",58.3120204603581,99.781
"HORVU6Hr1G060720","HORVU6Hr1G060720.1","Contig10062_at",85.3290183387271,99.874
"HORVU2Hr1G065800","HORVU2Hr1G065800.4","Contig10063_at",86.9294605809129,99.92
"HORVU7Hr1G091810","HORVU7Hr1G091810.1","Contig10065_at",100,100
"HORVU5Hr1G055920","HORVU5Hr1G055920.8","Contig10066_at",55.5863342566944,100
"HORVU1Hr1G077820","HORVU1Hr1G077820.10","Contig10068_at",54.3595263724435,99.604
"HORVU3Hr1G001670","HORVU3Hr1G001670.1","Contig10070_at",96.551724137931,99.167
"HORVU4Hr1G067060","HORVU4Hr1G067060.7","Contig10071_at",57.7586206896552,96.517
"HORVU4Hr1G067060","HORVU4Hr1G067060.7","Contig10071_s_at",57.7586206896552,96.517
"HORVU5Hr1G065400","HORVU5Hr1G065400.1","Contig10072_at",100,97.94
"HORVU2Hr1G032130","HORVU2Hr1G032130.6","Contig10074_at",100,100
"HORVU1Hr1G085660","HORVU1Hr1G085660.1","Contig10075_at",97.7443609022556,99.145
"HORVU5Hr1G120960","HORVU5Hr1G120960.1","Contig10076_at",100,100
"HORVU5Hr1G110960","HORVU5Hr1G110960.3","Contig10078_at",100,100
"HORVU3Hr1G043930","HORVU3Hr1G043930.1","Contig10080_at",91.6469661150512,100
"HORVU2Hr1G093720","HORVU2Hr1G093720.1","Contig10081_at",66.0678642714571,99.849
"HORVU3Hr1G071210","HORVU3Hr1G071210.1","Contig10084_at",100,99.85
"HORVU7Hr1G105490","HORVU7Hr1G105490.3","Contig10085_at",71.4195979899498,99.824
"HORVU3Hr1G078590","HORVU3Hr1G078590.10","Contig10086_at",81.6260162601626,99.9
"HORVU2Hr1G023710","HORVU2Hr1G023710.1","Contig10087_at",69.4545454545455,100
"HORVU2Hr1G023710","HORVU2Hr1G023710.1","Contig10090_at",54.2713567839196,99.691
"HORVU2Hr1G023710","HORVU2Hr1G023710.1","Contig10090_s_at",54.2713567839196,99.691
"HORVU0Hr1G021880","HORVU0Hr1G021880.1","Contig10091_at",100,100
"HORVU5Hr1G098340","HORVU5Hr1G098340.3","Contig10093_at",94.6317103620474,98.945
"HORVU5Hr1G098340","HORVU5Hr1G098340.3","Contig10093_s_at",94.6317103620474,98.945
"HORVU4Hr1G080560","HORVU4Hr1G080560.3","Contig10095_at",69.0909090909091,99.708
"HORVU6Hr1G021060","HORVU6Hr1G021060.1","Contig10097_at",81.6901408450704,93.103
"HORVU6Hr1G021060","HORVU6Hr1G021060.1","Contig10098_s_at",81.6901408450704,93.103
"HORVU7Hr1G087380","HORVU7Hr1G087380.1","Contig10099_at",99.3827160493827,99.379
"HORVU5Hr1G076230","HORVU5Hr1G076230.5","Contig101_at",90.9006499535747,90.918
"HORVU1Hr1G011990","HORVU1Hr1G011990.2","Contig1010_at",89.5582329317269,97.309
"HORVU6Hr1G093510","HORVU6Hr1G093510.1","Contig10100_at",74.4809109176155,100
"HORVU7Hr1G078750","HORVU7Hr1G078750.7","Contig10101_at",100,99.862
"HORVU5Hr1G070800","HORVU5Hr1G070800.28","Contig10102_at",100,99.706
"HORVU1Hr1G084120","HORVU1Hr1G084120.5","Contig10104_at",100,100
"HORVU5Hr1G011630","HORVU5Hr1G011630.2","Contig10105_at",93.2739861523244,89.077
"HORVU5Hr1G011630","HORVU5Hr1G011630.2","Contig10107_at",100,99.505
"HORVU0Hr1G008940","HORVU0Hr1G008940.1","Contig10108_at",98.2456140350877,100
"HORVU0Hr1G008940","HORVU0Hr1G008940.1","Contig10108_s_at",98.2456140350877,100
"HORVU0Hr1G008940","HORVU0Hr1G008940.1","Contig10109_at",95.2153110047847,99.167
"HORVU7Hr1G021230","HORVU7Hr1G021230.1","Contig10110_at",96.0975609756098,100
"HORVU7Hr1G021230","HORVU7Hr1G021230.1","Contig10110_s_at",96.0975609756098,100
"HORVU4Hr1G078410","HORVU4Hr1G078410.2","Contig10112_at",83.0188679245283,100
"HORVU7Hr1G088290","HORVU7Hr1G088290.1","Contig10113_at",100,100
"HORVU5Hr1G052150","HORVU5Hr1G052150.3","Contig10115_at",100,100
"HORVU2Hr1G034270","HORVU2Hr1G034270.1","Contig10116_at",98.7951807228916,98.645
"HORVU5Hr1G024440","HORVU5Hr1G024440.1","Contig10118_at",96.4669738863287,99.682
"HORVU7Hr1G009420","HORVU7Hr1G009420.4","Contig10119_at",100,99.798
"HORVU5Hr1G109360","HORVU5Hr1G109360.1","Contig1012_s_at",69.5714285714286,94.867
"HORVU7Hr1G034560","HORVU7Hr1G034560.7","Contig10122_at",100,99.915
"HORVU1Hr1G051420","HORVU1Hr1G051420.4","Contig10124_at",95.5703211517165,97.489
"HORVU7Hr1G074550","HORVU7Hr1G074550.17","Contig10127_at",100,99.543
"HORVU0Hr1G012950","HORVU0Hr1G012950.1","Contig10128_at",100,100
"HORVU4Hr1G062950","HORVU4Hr1G062950.9","Contig10129_at",100,98.198
"HORVU4Hr1G027260","HORVU4Hr1G027260.8","Contig1013_s_at",100,99.785
"HORVU2Hr1G060710","HORVU2Hr1G060710.1","Contig10130_at",73.1081081081081,100
"HORVU7Hr1G038770","HORVU7Hr1G038770.2","Contig10131_at",100,100
"HORVU7Hr1G038770","HORVU7Hr1G038770.2","Contig10131_s_at",100,100
"HORVU2Hr1G087950","HORVU2Hr1G087950.1","Contig10135_at",100,100
"HORVU2Hr1G087950","HORVU2Hr1G087950.1","Contig10136_s_at",80.7511737089202,99.419
"HORVU7Hr1G113460","HORVU7Hr1G113460.1","Contig10137_at",100,99.167
"HORVU1Hr1G051470","HORVU1Hr1G051470.3","Contig10142_at",60.6393606393606,99.835
"HORVU2Hr1G114720","HORVU2Hr1G114720.4","Contig10144_at",68.3221476510067,99.804
"HORVU2Hr1G114720","HORVU2Hr1G114720.4","Contig10144_s_at",68.3221476510067,99.804
"HORVU5Hr1G047930","HORVU5Hr1G047930.2","Contig10146_at",83.8501291989664,98.306
"HORVU5Hr1G098840","HORVU5Hr1G098840.2","Contig10148_at",70.6472196900638,99.484
"HORVU2Hr1G072830","HORVU2Hr1G072830.1","Contig10149_at",100,99.907
"HORVU7Hr1G007810","HORVU7Hr1G007810.1","Contig10150_at",92.3423423423423,100
"HORVU4Hr1G071360","HORVU4Hr1G071360.5","Contig10152_at",89.5924308588064,99.675
"HORVU3Hr1G104790","HORVU3Hr1G104790.1","Contig10154_at",78.2016348773842,99.303
"HORVU2Hr1G123080","HORVU2Hr1G123080.1","Contig10156_at",100,99.425
"HORVU2Hr1G123080","HORVU2Hr1G123080.1","Contig10156_s_at",100,99.425
"HORVU7Hr1G039330","HORVU7Hr1G039330.1","Contig10157_at",100,100
"HORVU7Hr1G107970","HORVU7Hr1G107970.1","Contig10159_at",100,100
"HORVU1Hr1G023670","HORVU1Hr1G023670.1","Contig10160_at",93.0648769574944,100
"HORVU3Hr1G036310","HORVU3Hr1G036310.2","Contig10161_at",95.2713178294574,99.593
"HORVU3Hr1G109570","HORVU3Hr1G109570.1","Contig10162_s_at",61.3722998729352,86.128
"HORVU2Hr1G036840","HORVU2Hr1G036840.1","Contig10164_at",93.6395759717314,100
"HORVU3Hr1G073750","HORVU3Hr1G073750.4","Contig10165_at",92.3423423423423,100
"HORVU7Hr1G098410","HORVU7Hr1G098410.7","Contig10166_at",100,100
"HORVU0Hr1G001430","HORVU0Hr1G001430.1","Contig10167_at",100,100
"HORVU0Hr1G001430","HORVU0Hr1G001430.1","Contig10168_at",96.3470319634703,86.478
"HORVU2Hr1G077010","HORVU2Hr1G077010.2","Contig10169_at",100,99.931
"HORVU4Hr1G027260","HORVU4Hr1G027260.8","Contig1017_at",51.2843224092117,99.31
"HORVU4Hr1G054460","HORVU4Hr1G054460.1","Contig10170_at",91.0669975186104,100
"HORVU2Hr1G102880","HORVU2Hr1G102880.1","Contig10171_at",95.7369942196532,100
"HORVU4Hr1G017430","HORVU4Hr1G017430.7","Contig10172_at",51.0510510510511,99.804
"HORVU2Hr1G077560","HORVU2Hr1G077560.26","Contig10173_at",68.6531585220501,100
"HORVU2Hr1G043390","HORVU2Hr1G043390.1","Contig10174_at",98.2456140350877,95.858
"HORVU6Hr1G048290","HORVU6Hr1G048290.10","Contig10175_at",100,100
"HORVU5Hr1G056280","HORVU5Hr1G056280.13","Contig10182_at",88.8235294117647,100
"HORVU2Hr1G065180","HORVU2Hr1G065180.24","Contig10183_at",98.876404494382,96.591
"HORVU5Hr1G114620","HORVU5Hr1G114620.2","Contig10186_at",100,100
"HORVU7Hr1G081490","HORVU7Hr1G081490.3","Contig10187_at",77.7777777777778,100
"HORVU6Hr1G095250","HORVU6Hr1G095250.2","Contig10188_at",100,99.899
"HORVU6Hr1G095250","HORVU6Hr1G095250.2","Contig10189_at",51.4285714285714,96.825
"HORVU4Hr1G027260","HORVU4Hr1G027260.8","Contig1019_at",78.9247311827957,85.014
"HORVU7Hr1G027240","HORVU7Hr1G027240.3","Contig10190_at",100,100
"HORVU2Hr1G093700","HORVU2Hr1G093700.1","Contig10191_s_at",98.6798679867987,97.705
"HORVU2Hr1G093700","HORVU2Hr1G093700.1","Contig10192_at",98.6798679867987,100
"HORVU3Hr1G086220","HORVU3Hr1G086220.7","Contig10193_at",100,99.359
"HORVU1Hr1G094050","HORVU1Hr1G094050.3","Contig10196_at",73.0134932533733,99.897
"HORVU7Hr1G107590","HORVU7Hr1G107590.24","Contig10197_at",55.9251559251559,99.628
"HORVU6Hr1G054060","HORVU6Hr1G054060.2","Contig10199_at",82.7834660599166,99.175
"HORVU6Hr1G007830","HORVU6Hr1G007830.1","Contig102_at",86.5633074935401,92.836
"HORVU3Hr1G031560","HORVU3Hr1G031560.1","Contig10200_at",97.6240391334731,99.928
"HORVU4Hr1G067940","HORVU4Hr1G067940.10","Contig10202_at",79.2172739541161,100
"HORVU5Hr1G070010","HORVU5Hr1G070010.1","Contig10203_at",100,100
"HORVU5Hr1G021770","HORVU5Hr1G021770.1","Contig10206_s_at",100,100
"HORVU5Hr1G021770","HORVU5Hr1G021770.1","Contig10206_at",100,100
"HORVU5Hr1G027890","HORVU5Hr1G027890.1","Contig10209_at",76.8585131894484,100
"HORVU2Hr1G068550","HORVU2Hr1G068550.9","Contig10215_at",100,100
"HORVU7Hr1G045330","HORVU7Hr1G045330.3","Contig10218_at",71.4460784313726,99.828
"HORVU5Hr1G011690","HORVU5Hr1G011690.2","Contig10220_s_at",80.9523809523809,100
"HORVU4Hr1G014270","HORVU4Hr1G014270.1","Contig10221_at",100,98.048
"HORVU2Hr1G122470","HORVU2Hr1G122470.1","Contig10222_at",100,100
"HORVU1Hr1G016240","HORVU1Hr1G016240.1","Contig10224_at",97.9035639412998,100
"HORVU2Hr1G015670","HORVU2Hr1G015670.1","Contig10225_s_at",72.3958333333333,99.52
"HORVU2Hr1G015670","HORVU2Hr1G015670.1","Contig10226_at",69.8189134808853,99.856
"HORVU3Hr1G063670","HORVU3Hr1G063670.2","Contig1023_at",100,100
"HORVU4Hr1G072810","HORVU4Hr1G072810.2","Contig10232_at",96.0493827160494,96.915
"HORVU6Hr1G093240","HORVU6Hr1G093240.3","Contig10237_at",72.2689075630252,100
"HORVU6Hr1G093240","HORVU6Hr1G093240.3","Contig10237_s_at",72.2689075630252,100
"HORVU6Hr1G093240","HORVU6Hr1G093240.3","Contig10238_at",72.2689075630252,97.287
"HORVU2Hr1G067370","HORVU2Hr1G067370.5","Contig1024_at",56.0165975103734,100
"HORVU5Hr1G094700","HORVU5Hr1G094700.1","Contig10245_at",100,99.812
"HORVU4Hr1G080360","HORVU4Hr1G080360.2","Contig10247_at",100,97.384
"HORVU2Hr1G019810","HORVU2Hr1G019810.1","Contig10248_at",80.3149606299213,100
"HORVU2Hr1G103550","HORVU2Hr1G103550.2","Contig1025_s_at",89.4607843137255,100
"HORVU1Hr1G000620","HORVU1Hr1G000620.2","Contig10250_at",100,99.635
"HORVU1Hr1G000620","HORVU1Hr1G000620.2","Contig10250_s_at",100,99.635
"HORVU4Hr1G056700","HORVU4Hr1G056700.4","Contig10254_s_at",74.7481108312343,99.663
"HORVU7Hr1G091920","HORVU7Hr1G091920.1","Contig10256_at",100,100
"HORVU3Hr1G055550","HORVU3Hr1G055550.3","Contig10257_at",53.639846743295,100
"HORVU3Hr1G055550","HORVU3Hr1G055550.3","Contig10257_s_at",53.639846743295,100
"HORVU6Hr1G079030","HORVU6Hr1G079030.4","Contig10258_at",100,99.271
"HORVU6Hr1G079030","HORVU6Hr1G079030.4","Contig10258_s_at",100,99.271
"HORVU5Hr1G087760","HORVU5Hr1G087760.1","Contig10262_at",66.7617689015692,100
"HORVU5Hr1G087730","HORVU5Hr1G087730.4","Contig10263_at",69.2307692307692,100
"HORVU3Hr1G039130","HORVU3Hr1G039130.2","Contig10264_at",100,100
"HORVU3Hr1G026120","HORVU3Hr1G026120.1","Contig10267_at",100,99.361
"HORVU3Hr1G058570","HORVU3Hr1G058570.1","Contig10267_at",100,99.361
"HORVU1Hr1G053080","HORVU1Hr1G053080.8","Contig10268_at",96.9634230503796,99.929
"HORVU6Hr1G085410","HORVU6Hr1G085410.1","Contig10269_at",100,100
"HORVU4Hr1G084340","HORVU4Hr1G084340.1","Contig10270_at",88.7947269303202,99.947
"HORVU7Hr1G002140","HORVU7Hr1G002140.1","Contig10272_at",83.8450292397661,99.913
"HORVU4Hr1G001450","HORVU4Hr1G001450.6","Contig10274_at",62.4472573839662,100
"HORVU2Hr1G104110","HORVU2Hr1G104110.1","Contig10276_at",80.8716707021792,99.501
"HORVU5Hr1G077690","HORVU5Hr1G077690.1","Contig10278_at",64.4119907763259,99.881
"HORVU5Hr1G098040","HORVU5Hr1G098040.1","Contig10279_at",100,99.881
"HORVU2Hr1G031990","HORVU2Hr1G031990.2","Contig10280_at",98.3552631578947,100
"HORVU4Hr1G019940","HORVU4Hr1G019940.1","Contig10281_at",86.4102564102564,99.703
"HORVU2Hr1G004730","HORVU2Hr1G004730.1","Contig10282_at",77.8231987736331,91.273
"HORVU2Hr1G017900","HORVU2Hr1G017900.1","Contig10284_at",83.7719298245614,100
"HORVU7Hr1G033370","HORVU7Hr1G033370.1","Contig10285_at",93.6421435059037,99.903
"HORVU4Hr1G009270","HORVU4Hr1G009270.2","Contig10286_at",76.6666666666667,96.286
"HORVU1Hr1G004200","HORVU1Hr1G004200.1","Contig10288_at",76.0877790389709,99.602
"HORVU7Hr1G021860","HORVU7Hr1G021860.7","Contig10289_at",97.0391595033429,91.24
"HORVU1Hr1G092950","HORVU1Hr1G092950.9","Contig10291_at",100,99.834
"HORVU5Hr1G056670","HORVU5Hr1G056670.40","Contig10292_at",100,100
"HORVU2Hr1G022590","HORVU2Hr1G022590.1","Contig10293_at",91.140350877193,100
"HORVU3Hr1G073730","HORVU3Hr1G073730.1","Contig10294_at",100,100
"HORVU2Hr1G031470","HORVU2Hr1G031470.2","Contig10297_at",72.7594339622642,99.838
"HORVU3Hr1G029040","HORVU3Hr1G029040.1","Contig10299_at",100,100
"HORVU6Hr1G085880","HORVU6Hr1G085880.3","Contig103_s_at",100,98.842
"HORVU7Hr1G113500","HORVU7Hr1G113500.1","Contig1030_s_at",100,100
"HORVU2Hr1G033040","HORVU2Hr1G033040.1","Contig10300_at",100,100
"HORVU4Hr1G027970","HORVU4Hr1G027970.1","Contig10301_at",86.8945868945869,100
"HORVU5Hr1G104160","HORVU5Hr1G104160.1","Contig10303_at",56.8181818181818,99.429
"HORVU5Hr1G104160","HORVU5Hr1G104160.1","Contig10303_s_at",56.8181818181818,99.429
"HORVU1Hr1G064750","HORVU1Hr1G064750.1","Contig10306_at",100,98.444
"HORVU1Hr1G064750","HORVU1Hr1G064750.1","Contig10306_s_at",100,98.444
"HORVU1Hr1G055300","HORVU1Hr1G055300.1","Contig10307_at",100,100
"HORVU1Hr1G083710","HORVU1Hr1G083710.2","Contig1031_at",100,100
"HORVU4Hr1G062920","HORVU4Hr1G062920.2","Contig10310_at",56.5602836879433,100
"HORVU4Hr1G079190","HORVU4Hr1G079190.1","Contig10311_at",98.5155195681511,100
"HORVU1Hr1G032670","HORVU1Hr1G032670.11","Contig10313_at",100,100
"HORVU7Hr1G032340","HORVU7Hr1G032340.2","Contig10314_at",100,96.61
"HORVU7Hr1G088730","HORVU7Hr1G088730.2","Contig10315_at",100,100
"HORVU6Hr1G081800","HORVU6Hr1G081800.20","Contig10317_at",82.9268292682927,96.098
"HORVU5Hr1G045930","HORVU5Hr1G045930.1","Contig10319_at",78.7545787545788,100
"HORVU2Hr1G014150","HORVU2Hr1G014150.6","Contig10323_at",82.9087048832272,98.72
"HORVU4Hr1G052920","HORVU4Hr1G052920.2","Contig10324_at",100,100
"HORVU6Hr1G067160","HORVU6Hr1G067160.1","Contig10325_s_at",93.0434782608696,98.754
"HORVU7Hr1G027270","HORVU7Hr1G027270.10","Contig10328_at",71.6119828815977,99.9
"HORVU5Hr1G041860","HORVU5Hr1G041860.4","Contig10331_at",83.3248081841432,99.754
"HORVU5Hr1G035440","HORVU5Hr1G035440.4","Contig10332_at",99.8650472334683,100
"HORVU4Hr1G000630","HORVU4Hr1G000630.1","Contig10333_at",100,90.021
"HORVU0Hr1G017170","HORVU0Hr1G017170.3","Contig10334_at",61.3032984714401,99.738
"HORVU6Hr1G058780","HORVU6Hr1G058780.2","Contig10338_at",100,99.771
"HORVU2Hr1G065100","HORVU2Hr1G065100.2","Contig10339_at",73.5156771180787,100
"HORVU7Hr1G070780","HORVU7Hr1G070780.5","Contig10340_at",74.048658764816,99.916
"HORVU0Hr1G021100","HORVU0Hr1G021100.1","Contig10340_at",74.048658764816,99.916
"HORVU4Hr1G010540","HORVU4Hr1G010540.1","Contig10342_at",80.5860805860806,98.19
"HORVU2Hr1G021060","HORVU2Hr1G021060.1","Contig10344_at",74.0501792114695,99.903
"HORVU5Hr1G023020","HORVU5Hr1G023020.3","Contig10344_at",74.0501792114695,99.903
"HORVU5Hr1G068910","HORVU5Hr1G068910.1","Contig10345_at",100,100
"HORVU5Hr1G009460","HORVU5Hr1G009460.4","Contig10346_at",100,99.132
"HORVU1Hr1G044810","HORVU1Hr1G044810.5","Contig10347_at",77.0642201834862,100
"HORVU2Hr1G103240","HORVU2Hr1G103240.1","Contig10348_at",100,100
"HORVU2Hr1G023000","HORVU2Hr1G023000.5","Contig10349_at",91.9272313814667,100
"HORVU4Hr1G040980","HORVU4Hr1G040980.1","Contig1035_at",100,93.333
"HORVU2Hr1G050290","HORVU2Hr1G050290.5","Contig10351_at",83.9468302658487,99.756
"HORVU3Hr1G069360","HORVU3Hr1G069360.1","Contig10352_at",92.5925925925926,100
"HORVU3Hr1G069360","HORVU3Hr1G069360.1","Contig10352_s_at",92.5925925925926,100
"HORVU5Hr1G028810","HORVU5Hr1G028810.1","Contig10354_at",86.1878453038674,99.786
"HORVU5Hr1G111640","HORVU5Hr1G111640.1","Contig10356_at",88.3895131086142,100
"HORVU7Hr1G089040","HORVU7Hr1G089040.1","Contig10357_at",92.4812030075188,100
"HORVU3Hr1G051190","HORVU3Hr1G051190.6","Contig10358_at",100,100
"HORVU1Hr1G023660","HORVU1Hr1G023660.1","Contig1036_5_s_at",99.2592592592593,96.667
"HORVU3Hr1G028810","HORVU3Hr1G028810.1","Contig10360_at",73.2436472346786,97.959
"HORVU1Hr1G071010","HORVU1Hr1G071010.2","Contig10361_at",100,99.653
"HORVU5Hr1G062740","HORVU5Hr1G062740.3","Contig10362_at",60.3365384615385,99.469
"HORVU2Hr1G091850","HORVU2Hr1G091850.2","Contig10365_s_at",99.1228070175439,99.508
"HORVU4Hr1G074480","HORVU4Hr1G074480.3","Contig10368_at",96.3120567375886,100
"HORVU6Hr1G034630","HORVU6Hr1G034630.10","Contig10369_at",100,99.936
"HORVU3Hr1G098360","HORVU3Hr1G098360.3","Contig10373_at",100,98.246
"HORVU6Hr1G032200","HORVU6Hr1G032200.3","Contig10374_at",100,99.872
"HORVU7Hr1G101260","HORVU7Hr1G101260.2","Contig10375_at",74.7443762781186,99.726
"HORVU2Hr1G124260","HORVU2Hr1G124260.1","Contig10378_at",85.3441295546559,98.387
"HORVU1Hr1G023660","HORVU1Hr1G023660.1","Contig1038_x_at",100,100
"HORVU3Hr1G019070","HORVU3Hr1G019070.1","Contig10380_x_at",86.4427860696517,99.569
"HORVU3Hr1G019070","HORVU3Hr1G019070.1","Contig10380_at",86.4427860696517,99.569
"HORVU2Hr1G083340","HORVU2Hr1G083340.1","Contig10382_s_at",100,100
"HORVU6Hr1G002330","HORVU6Hr1G002330.8","Contig10383_at",95.5684007707129,99.798
"HORVU7Hr1G054850","HORVU7Hr1G054850.2","Contig10389_at",73.2275132275132,99.711
"HORVU6Hr1G025710","HORVU6Hr1G025710.1","Contig10390_x_at",100,91.852
"HORVU6Hr1G025710","HORVU6Hr1G025710.1","Contig10392_at",100,94.074
"HORVU5Hr1G093650","HORVU5Hr1G093650.4","Contig10393_at",90.770901194354,100
"HORVU7Hr1G012130","HORVU7Hr1G012130.1","Contig10395_at",76.878612716763,100
"HORVU3Hr1G029470","HORVU3Hr1G029470.1","Contig10396_at",72.3152709359606,99.592
"HORVU4Hr1G062930","HORVU4Hr1G062930.3","Contig10397_at",86.2373737373737,99.707
"HORVU2Hr1G102330","HORVU2Hr1G102330.2","Contig104_x_at",100,100
"HORVU4Hr1G001170","HORVU4Hr1G001170.5","Contig1040_at",88.7878787878788,100
"HORVU1Hr1G054470","HORVU1Hr1G054470.4","Contig10400_s_at",77.752117013087,98.911
"HORVU2Hr1G088110","HORVU2Hr1G088110.10","Contig10401_s_at",50.1811594202899,99.639
"HORVU2Hr1G088110","HORVU2Hr1G088110.10","Contig10402_at",82.7586206896552,99.653
"HORVU2Hr1G118640","HORVU2Hr1G118640.3","Contig10403_s_at",76.6536964980545,99.831
"HORVU2Hr1G118640","HORVU2Hr1G118640.3","Contig10403_at",76.6536964980545,99.831
"HORVU2Hr1G118640","HORVU2Hr1G118640.3","Contig10404_at",96.1089494163424,100
"HORVU5Hr1G066260","HORVU5Hr1G066260.1","Contig10407_at",100,100
"HORVU1Hr1G023660","HORVU1Hr1G023660.1","Contig1041_x_at",95.1851851851852,95.534
"HORVU4Hr1G055880","HORVU4Hr1G055880.1","Contig10412_at",77.8210116731518,99.833
"HORVU7Hr1G048110","HORVU7Hr1G048110.2","Contig10413_at",86.7399267399267,99.071
"HORVU6Hr1G019780","HORVU6Hr1G019780.2","Contig10415_at",100,100
"HORVU4Hr1G085270","HORVU4Hr1G085270.2","Contig10416_at",100,100
"HORVU4Hr1G041810","HORVU4Hr1G041810.13","Contig10418_at",75.5769230769231,100
"HORVU6Hr1G026200","HORVU6Hr1G026200.5","Contig1042_x_at",94.5767195767196,99.86
"HORVU3Hr1G082130","HORVU3Hr1G082130.10","Contig10421_at",73.4164070612669,99.434
"HORVU0Hr1G003210","HORVU0Hr1G003210.1","Contig10422_at",91.1764705882353,100
"HORVU4Hr1G082070","HORVU4Hr1G082070.2","Contig10423_at",81.2146892655367,100
"HORVU1Hr1G047980","HORVU1Hr1G047980.1","Contig10424_at",94.5750452079566,99.745
"HORVU4Hr1G070170","HORVU4Hr1G070170.1","Contig10426_x_at",100,99.827
"HORVU4Hr1G070170","HORVU4Hr1G070170.1","Contig10426_at",100,99.827
"HORVU7Hr1G039640","HORVU7Hr1G039640.20","Contig10427_at",95.58599695586,99.204
